quarter	dioxide
2000.1	370.56
2000.2	371.71
2000.3	366.91
2000.4	369.67
2001.1	372.53
2001.2	373.18
2001.3	368.16
2001.4	371.18
2002.1	373.93
2002.2	375.50
2002.3	370.66
2002.4	373.71
2003.1	376.48
2003.2	378.18
2003.3	373.20
2003.4	375.93
2004.1	378.73
2004.2	379.56
2004.3	374.11
2004.4	377.45
2005.1	381.14
2005.2	382.20
2005.3	376.66
2005.4	379.92
2006.1	382.66
2006.2	384.09
2006.3	378.92
2006.4	381.79
2007.1	384.56
2007.2	386.05
2007.3	380.90
2007.4	383.89
2008.1	385.97
2008.2	387.88
2008.3	383.09
2008.4	385.56
2009.1	388.77
2009.2	389.45
2009.3	384.79
2009.4	387.31
2010.1	391.09
2010.2	392.15
2010.3	386.83
2010.4	389.73
2011.1	392.49
2011.2	393.72
2011.3	389.04
2011.4	391.83
2012.1	394.45
2012.2	395.82
2012.3	391.06
2012.4	394.28
2013.1	397.31
2013.2	398.58
2013.3	393.51
2013.4	396.81
2014.1	399.62
2014.2	401.20
2014.3	395.35
2014.4	398.84
2015.1	401.52
2015.2	402.80
2015.3	397.63
2015.4	401.85
2016.1	404.83
2016.2	406.81
2016.3	401.03
2016.4	404.42
2017.1	407.18
2017.2	408.84
2017.3	403.38
